,Name,Pathogen_type,CFR_adult,Hits,Hits_news,Mode,Incidence,Prevalence,DALYs,Fatal,Peak
2,Anthrax,bacterium,20.00,10700000.0,25600.0,air droplets,39.48665278205128,36.952127051282055,6.79128591025641,141812.1692307692,2079841.7307692308
3,Anthrax,bacterium,50.00,10700000.0,25600.0,air droplets,39.48665278205128,36.952127051282055,6.79128591025641,141812.1692307692,64.0
4,Anthrax,bacterium,80.00,10700000.0,25600.0,air droplets,39.48665278205128,36.952127051282055,6.79128591025641,141812.1692307692,2079841.7307692308
5,C. difficile,bacterium,6.30,1300000.0,2760.0,fecal-oral,39.48665278205128,36.952127051282055,6.79128591025641,141812.1692307692,15000.0
6,Campylobacter,bacterium,0.02,3440000.0,5770.0,food and water,166.0,36.952127051282055,3.7,37200.0,2079841.7307692308
7,Chickenpox ,virus,0.01,4180000.0,5710.0,air droplets,148.0,7.6,0.9,12500.0,2079841.7307692308
8,Chikungunya,virus,0.10,7480000.0,39400.0,bites,0.7,36.952127051282055,6.79128591025641,1000.0,2079841.7307692308
9,Cholera,bacterium,3.20,21300000.0,53500.0,food and water,3.1,36.952127051282055,7.3,105000.0,2079841.7307692308
10,Common cold,virus,0.00,6820000.0,10100.0,air droplets,39.48665278205128,36.952127051282055,6.79128591025641,141812.1692307692,2079841.7307692308
11,Dengue fever,virus,0.04,4730000.0,7000.0,bites,101.0,6.0,3.0,37800.0,2079841.7307692308
12,Dengue fever,virus,20.00,4730000.0,7000.0,bites,101.0,6.0,3.0,37800.0,2079841.7307692308
13,Diphtheria,bacterium,11.30,554000.0,582.0,body fluids,0.007,0.0003,0.09,1100.0,15520.0
14,E. coli,bacterium,0.50,20500000.0,32400.0,fecal-oral,324.0,36.952127051282055,16.0,197000.0,2079841.7307692308
15,Ebola,virus,50.00,10300000.0,45400.0,body fluids,4e-05,0.0006,0.0003,4.0,37700.0
16,Echinococcosis,parasite,0.50,444000.0,39.0,fecal-oral,0.2,1.0,0.1,1000.0,2079841.7307692308
17,Echinococcosis,parasite,62.50,444000.0,39.0,fecal-oral,0.02,1.0,0.7,11450.0,2079841.7307692308
18,Guinea worm disease,parasite,0.05,777000.0,4090.0,food and water,2.7e-05,1e-05,1e-06,141812.1692307692,3500.0
19,Hand foot & mouth ,virus,0.06,1120000.0,2790.0,body fluids,39.48665278205128,36.952127051282055,6.79128591025641,141812.1692307692,540.0
20,Hantavirus,virus,36.00,872000.0,4210.0,air droplets,0.2,36.952127051282055,6.79128591025641,141812.1692307692,2079841.7307692308
21,Helminthiasis (soil-transmitted helminths),parasite,,121000.0,26.0,fecal-oral,39.48665278205128,1500.0,5.2,2800.0,2079841.7307692308
22,Hepatitis A,virus,0.01,4820000.0,19400.0,fecal-oral,160.0,12.0,0.5,5200.0,2079841.7307692308
23,Hepatitis B,virus,0.10,13300000.0,14000.0,body fluids,119.0,468.0,3.8,100000.0,2079841.7307692308
24,HIV,virus,2.10,58400000.0,7300000.0,body fluids,1.9,36.0,58.0,1030000.0,1900000.0
25,HIV ,virus,80.00,58400000.0,7300000.0,body fluids,1.9,36.0,58.0,1030000.0,1900000.0
26,Bird flu,virus,60.00,537000.0,189000.0,air droplets,0.002,36.952127051282055,6.79128591025641,18.0,79.0
27,Seasonal flu,virus,0.10,810000.0,9300.0,air droplets,4.0,36.952127051282055,6.79128591025641,470000.0,2079841.7307692308
28,Spanish flu,virus,2.50,597000.0,12900.0,air droplets,39.48665278205128,36.952127051282055,6.79128591025641,141812.1692307692,75000000.0
29,Swine flu,virus,0.20,6030000.0,139000.0,air droplets,39.48665278205128,36.952127051282055,6.79128591025641,141812.1692307692,360000.0
