,Name,Pathogen_type,Hits,Hits_news,Mode,Incidence,Prevalence,DALYs,Fatal,Peak,CFR_adult
2,Anthrax,bacterium,10700000,25600,air droplets,39.48665278,36.95212705,6.79128591,141812.1692,2079841.731,20
3,Anthrax,bacterium,10700000,25600,air droplets,39.48665278,36.95212705,6.79128591,141812.1692,64,50
4,Anthrax,bacterium,10700000,25600,air droplets,39.48665278,36.95212705,6.79128591,141812.1692,2079841.731,80
5,C. difficile,bacterium,1300000,2760,fecal-oral,39.48665278,36.95212705,6.79128591,141812.1692,15000,6.3
6,Campylobacter,bacterium,3440000,5770,food and water,166,36.95212705,3.7,37200,2079841.731,0.02
7,Chickenpox ,virus,4180000,5710,air droplets,148,7.6,0.9,12500,2079841.731,0.01
8,Chikungunya,virus,7480000,39400,bites,0.7,36.95212705,6.79128591,1000,2079841.731,0.1
9,Cholera,bacterium,21300000,53500,food and water,3.1,36.95212705,7.3,105000,2079841.731,3.2
10,Common cold,virus,6820000,10100,air droplets,39.48665278,36.95212705,6.79128591,141812.1692,2079841.731,0
11,Dengue fever,virus,4730000,7000,bites,101,6,3,37800,2079841.731,0.04
12,Dengue fever,virus,4730000,7000,bites,101,6,3,37800,2079841.731,20
13,Diphtheria,bacterium,554000,582,body fluids,0.007,0.0003,0.09,1100,15520,11.3
14,E. coli,bacterium,20500000,32400,fecal-oral,324,36.95212705,16,197000,2079841.731,0.5
15,Ebola,virus,10300000,45400,body fluids,4.00E-05,0.0006,0.0003,4,37700,50
16,Echinococcosis,parasite,444000,39,fecal-oral,0.2,1,0.1,1000,2079841.731,0.5
17,Echinococcosis,parasite,444000,39,fecal-oral,0.02,1,0.7,11450,2079841.731,62.5
18,Guinea worm disease,parasite,777000,4090,food and water,2.70E-05,1.00E-05,1.00E-06,141812.1692,3500,0.05
19,Hand foot & mouth ,virus,1120000,2790,body fluids,39.48665278,36.95212705,6.79128591,141812.1692,540,0.06
20,Hantavirus,virus,872000,4210,air droplets,0.2,36.95212705,6.79128591,141812.1692,2079841.731,36
21,Helminthiasis (soil-transmitted helminths),parasite,121000,26,fecal-oral,39.48665278,1500,5.2,2800,2079841.731,
