order_no,discount_amount,adults,booking_fee,paid_from_wallet,order_time,source,isRelease,trip_type,leg_name,commission,departure_time,bf_discount,trip_id,isCancel,net_revenue,base_id,travel_date,ff_discount,facility_fee,amount_in_usd,voucher_consumption,paid_from_card,pick_stop
774016,11.25,1,0,0,09-25-2019 3:47:29,WEB,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,294729,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774017,11.25,1,0,0,09-25-2019 3:48:52,WEB,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,294729,09-25-2019,0,0,11.25,0,0,Times Square
774027,10.25,1,0,0,09-25-2019 5:24:09,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,1338,09-25-2019,0,0,10.25,0,0,Kendall Park Roller Skating Rink
774027,10.25,1,0,0,09-25-2019 5:24:09,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,1338,09-25-2019,0,0,10.25,0,0,Kendall Park Roller Skating Rink
774029,11.25,1,0,0,09-25-2019 5:38:44,WEB,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,35,09-25-2019,0,0,11.25,0,0,Kendall Park Post Office
774032,10.25,1,0,0,09-25-2019 5:48:26,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,193476,09-25-2019,0,0,10.25,0,0,Kendall Park Post Office
774032,10.25,1,0,0,09-25-2019 5:48:26,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,193476,09-25-2019,0,0,10.25,0,0,Kendall Park Post Office
774033,11.25,1,0,0,09-25-2019 6:02:37,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,56494,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774035,11.25,1,0,0,09-25-2019 6:07:37,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,221920,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774036,11.25,1,0,0,09-25-2019 6:07:44,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,18375,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774037,0,1,0,0,09-25-2019 6:08:38,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,11.25,200405,09-25-2019,0,0,11.25,0,11.25,Kendall Park Roller Skating Rink
774038,10.25,1,0,0,09-25-2019 6:09:30,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,100,09-25-2019,0,0,10.25,0,0,Kendall Park Roller Skating Rink
774038,10.25,1,0,0,09-25-2019 6:09:30,ANDROID,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,100,09-25-2019,0,0,10.25,0,0,Kendall Park Roller Skating Rink
774039,11.25,1,0,0,09-25-2019 6:10:43,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,190,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774043,11.25,1,0,0,09-25-2019 6:16:07,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,155570,09-25-2019,0,0,11.25,0,0,Kendall Park Post Office
774044,11.25,1,0,0,09-25-2019 6:17:24,WEB,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,1365,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774045,10.25,1,0,0,09-25-2019 6:18:02,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,494,09-25-2019,0,0,10.25,0,0,Kendall Park Roller Skating Rink
774045,10.25,1,0,0,09-25-2019 6:18:02,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,494,09-25-2019,0,0,10.25,0,0,Kendall Park Roller Skating Rink
774046,11.25,1,0,0,09-25-2019 6:19:06,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,35988,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774049,11.25,1,0,0,09-25-2019 6:20:18,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,197,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774050,11.25,1,0,0,09-25-2019 6:20:19,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,137221,09-25-2019,0,0,11.25,0,0,Kendall Park Post Office
774051,11.25,1,0,0,09-25-2019 6:20:23,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,24976,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774052,11.25,1,0,0,09-25-2019 6:20:49,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,323,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774053,11.25,1,0,0,09-25-2019 6:22:26,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,141,09-25-2019,0,0,11.25,0,0,Kendall Park Post Office
774055,0,1,0,0,09-25-2019 6:22:51,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,11.25,424,09-25-2019,0,0,11.25,0,11.25,Kendall Park Roller Skating Rink
774057,11.25,1,0,0,09-25-2019 6:26:27,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,54,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774058,11.25,1,0,0,09-25-2019 6:26:41,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,141882,09-25-2019,0,0,11.25,0,0,Kendall Park Post Office
774059,0,1,0,0,09-25-2019 6:27:11,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,11.25,88206,09-25-2019,0,0,11.25,0,11.25,Kendall Park Roller Skating Rink
774060,11.25,1,0,0,09-25-2019 6:27:24,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,1414,09-25-2019,0,0,11.25,0,0,Green Hill Manor Club House
774061,0,1,0,0,09-25-2019 6:27:59,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,11.25,150028,09-25-2019,0,0,11.25,0,11.25,Green Hill Manor Club House
774063,10.25,1,0,0,09-25-2019 6:30:27,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,116007,09-25-2019,0,0,10.25,0,0,Kendall Park Post Office
774063,10.25,1,0,0,09-25-2019 6:30:27,ANDROID,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,0,116007,09-25-2019,0,0,10.25,0,0,Kendall Park Post Office
774065,11.25,1,0,0,09-25-2019 6:31:52,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,76084,09-25-2019,0,0,11.25,0,0,Kendall Park Post Office
774066,11.25,1,0,0,09-25-2019 6:31:53,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,101350,09-25-2019,0,0,11.25,0,0,Kendall Park Post Office
774067,11.25,1,0,0,09-25-2019 6:32:55,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:25:00 AM,0,16009,FALSE,0,57,09-25-2019,0,0,11.25,0,0,Kendall Park Post Office
774079,0,1,0,0,09-25-2019 6:45:44,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,11.25,594,09-25-2019,0,0,11.25,0,11.25,Kendall Park Roller Skating Rink
774080,11.25,1,0,0,09-25-2019 6:46:20,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,128453,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774081,11.25,1,0,0,09-25-2019 6:46:23,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,93,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774084,11.25,1,0,0,09-25-2019 6:47:59,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,260,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774085,2.5,1,0,0,09-25-2019 6:48:19,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,7.75,308742,09-25-2019,0,0,10.25,0,7.75,Kendall Park Roller Skating Rink
774085,2.5,1,0,0,09-25-2019 6:48:19,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,7.75,308742,09-25-2019,0,0,10.25,0,7.75,Kendall Park Roller Skating Rink
774086,0,1,0,0,09-25-2019 6:48:20,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,10.25,192330,09-25-2019,0,0,10.25,0,10.25,Kendall Park Roller Skating Rink
774086,0,1,0,0,09-25-2019 6:48:20,IOS,FALSE,C,"New York, NY - Kendall Park Commuter",0,5:30:00 PM,0,310958,FALSE,10.25,192330,09-25-2019,0,0,10.25,0,10.25,Kendall Park Roller Skating Rink
774089,11.25,1,0,0,09-25-2019 6:50:11,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,1316,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774091,11.25,1,0,0,09-25-2019 6:51:18,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,95,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774092,11.25,1,0,0,09-25-2019 6:51:48,WEB,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,1030,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774094,11.25,1,0,0,09-25-2019 6:53:02,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,134323,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774095,11.25,1,0,0,09-25-2019 6:53:09,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,83659,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774096,11.25,1,0,0,09-25-2019 6:53:12,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,107143,09-25-2019,0,0,11.25,0,0,Kendall Park Post Office
774097,11.25,1,0,0,09-25-2019 6:53:47,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,204062,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774098,11.25,1,0,0,09-25-2019 6:54:19,ANDROID,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,300787,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774100,11.25,1,0,0,09-25-2019 6:55:35,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,343,09-25-2019,0,0,11.25,0,0,Kendall Park Roller Skating Rink
774101,11.25,1,0,0,09-25-2019 6:56:16,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,163805,09-25-2019,0,0,11.25,0,0,Kendall Park Post Office
774105,0,1,0,0,09-25-2019 6:59:29,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,11.25,114699,09-25-2019,0,0,11.25,0,11.25,Kendall Park Post Office
774106,11.25,1,0,0,09-25-2019 7:00:12,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,0,203,09-25-2019,0,0,11.25,0,0,Kendall Park Post Office
774107,0,1,0,0,09-25-2019 7:00:21,IOS,FALSE,C,Kendall Park to NYC Commuter,0,6:55:00 AM,0,117711,FALSE,11.25,132168,09-25-2019,0,0,11.25,0,11.25,Stillwell Road
